HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.426532 1.000188 0.001522 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.427011 0.999813 0.001521 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.427491 0.997970 0.001514 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.427974 1.003189 0.001524 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.428460 0.998324 0.001515 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.428939 1.000286 0.001510 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.429425 0.998508 0.001509 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.429913 0.999977 0.001517 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.430398 0.999455 0.001531 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.430889 1.000727 0.001530 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.431379 0.999849 0.001525 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.431867 1.001440 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.432354 1.001718 0.001533 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.432850 1.000222 0.001532 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.433346 0.998710 0.001531 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.433842 1.001399 0.001555 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.434338 0.999736 0.001540 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.434839 0.998019 0.001509 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.435335 1.000691 0.001517 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.435833 1.000126 0.001514 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.436332 0.998150 0.001495 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.436819 0.999776 0.001503 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.437319 1.000000 0.001509 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.437811 1.000092 0.001502 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.438302 0.999994 0.001520 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.438800 0.994681 0.001513 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.439295 0.996438 0.001501 
HAT-P-23 CAHA Cousins-R 2015-08-28 2457263.439823 0.998475 0.001516 
